seed,VAL_mR,TEST_Audio_to_Caption_R@1,TEST_Audio_to_Caption_R@5,TEST_Audio_to_Caption_R@10,TEST_Caption_to_Audio_R@1,TEST_Caption_to_Audio_R@5,TEST_Caption_to_Audio_R@10,TEST_mR
42,0.0927367027228077,0.0233463030308485,0.079766534268856,0.1284046620130539,0.0116731515154242,0.0719844326376915,0.1459143906831741,0.076848245691508
1337,0.0956549908344944,0.0136186769232153,0.0836575850844383,0.1322957128286361,0.0252918284386396,0.0642023310065269,0.1206225678324699,0.073281450352321
2026,0.0982490247115492,0.031128404662013,0.093385212123394,0.1498054414987564,0.0214007776230573,0.0758754834532737,0.1595330685377121,0.0885213979830344
MEAN,0.09554690608961709,0.0226977948720256,0.08560311049222942,0.13683527211348212,0.01945525252570703,0.07068741569916404,0.14202334235111871,0.07955036467562114
SD_population,0.0022516934606272277,0.007163009772237286,0.005727471720325447,0.00930784756802525,0.00572747129851937,0.004852993008812058,0.01612166160015683,0.006508460452874664
