seed,mode,val_selected_global_threshold,test_macro_ap,test_micro_ap,test_macro_f1,test_micro_f1
42,caption,0.135,0.2428641321587045,0.1880685654684452,0.2291480195995884,0.2395178197064989
42,audio,-0.0899999999999999,0.1385131362500532,0.1278201755637959,0.1934347162311596,0.1975023126734505
1337,caption,0.2250000000000001,0.2918789425579284,0.2440902580703883,0.2607809622544319,0.2730241672109732
1337,audio,0.06,0.1532919851423977,0.1430663736222373,0.2040406387853971,0.2081829121540312
2026,caption,0.2450000000000001,0.288027985845237,0.2327569154524929,0.2571743797359481,0.2657851239669421
2026,audio,0.08,0.1455904004149574,0.1389189767931052,0.2069249335935957,0.2129600503302925
